################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   7.7549338647819321E-03   1.0337349556218745E-01   3.2976280102570088E-02   6.5625756741462269E-03
         1          2   7.3811456063844011E-02   2.4692407794644775E-01   1.5502658819777021E-01   9.4041235584329235E-03
         1          3   0.0000000000000000E+00   1.5209212266993302E-02   1.5962512470942964E-05   1.4665351736330113E-04
         1          4   0.0000000000000000E+00   3.7101613972899461E-02   2.0530018820367780E-04   7.6089112870050813E-04
         1          5   6.9004436524164631E-02   4.2426873189624131E-01   1.9013408168496437E-01   3.0858863770694960E-02
         1          6   2.3650550340734786E-01   5.1026337657524490E-01   3.5786273791514578E-01   3.3844213401131557E-02
         1          7   0.0000000000000000E+00   9.6744571186416439E-02   3.9163519708438271E-04   1.5842414524071459E-03
         1          8   0.0000000000000000E+00   1.6449819844373167E-01   2.6153573215078468E-03   7.7736532194186674E-03
         1          9   2.3961757114251703E-01   1.0419710369326853E+00   5.2978068977578241E-01   1.0777027642595642E-01
         1         10   2.2994605021667897E-01   6.1753673215318849E-01   3.9391301194938066E-01   8.1081055609215441E-02
         1         11   0.0000000000000000E+00   2.2643772243302054E-01   4.2737316476225999E-03   1.0619935610783175E-02
         1         12   0.0000000000000000E+00   2.6831910710411011E-01   1.3615005032121080E-02   3.3272396682793456E-02
         1         13   1.8113278051054715E-01   1.6793972955150365E+00   9.0118625722392431E-01   1.9456353395197365E-01
         1         14   6.6950430593678778E-02   7.9002705434426179E-01   3.7432455725607350E-01   1.0110199295494203E-01
         1         15   0.0000000000000000E+00   3.4629863690360091E-01   2.0262478359733844E-02   3.8435469763682270E-02
         1         16   0.0000000000000000E+00   3.7082041111116393E-01   3.1157422098439507E-02   6.1184988441537934E-02
         1         17   1.3553708981177939E-01   2.0172003183678311E+00   1.1026190529875743E+00   2.0889608360091513E-01
         1         18   4.4117589701607347E-02   9.7978243905857831E-01   4.9130539435283399E-01   1.1940750311544721E-01
         1         19   0.0000000000000000E+00   4.4152749410764475E-01   4.2394471013983401E-02   6.6644568743557217E-02
         1         20   0.0000000000000000E+00   4.0575964746724380E-01   3.8447070339376548E-02   5.6419018309950546E-02
         1         21   2.4126644760185667E-01   1.7778525601036799E+00   1.0533335876232917E+00   1.7026817049123202E-01
         1         22   6.7524269545773563E-02   9.7732689702063447E-01   5.5916517728317128E-01   9.9557634970424025E-02
         1         23   0.0000000000000000E+00   3.4697310029412454E-01   4.2345431854787952E-02   5.6498821811034161E-02
         1         24   0.0000000000000000E+00   2.6627073472088886E-01   3.5509027523091249E-02   4.2829181946915346E-02
         1         25   2.4492589506812396E-01   1.2084880052328208E+00   7.9179546597513784E-01   1.1206852747038265E-01
         1         26   8.0028958391058821E-02   6.9825549901781159E-01   4.1710362442683174E-01   6.6927166889331896E-02
